                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4027,                0.78273,                0.88831,                0.62201,                0.42099,                0.45385,                0.22915,                 1.4045,                0.77352,                0.88931,             0.00027222,             0.00027222,             0.00027222
                     36,                 1.3864,                0.77834,                0.88739,                0.62127,                0.45019,                0.46296,                0.23197,                 1.4042,                0.76756,                0.88908,             0.00025573,             0.00025573,             0.00025573
                     37,                 1.3918,                 0.7786,                0.88466,                 0.6261,                0.44942,                 0.4697,                0.23819,                 1.3856,                0.76276,                0.88651,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.3824,                0.77042,                0.88444,                0.65145,                0.42457,                0.47233,                0.23923,                 1.3757,                0.75641,                0.88695,             0.00022274,             0.00022274,             0.00022274
                     39,                  1.378,                0.77275,                0.88711,                0.63212,                0.45646,                0.47735,                0.23816,                 1.3842,                0.75852,                0.88628,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.3599,                0.76064,                0.88127,                0.60679,                0.43771,                0.46725,                0.24013,                 1.3742,                0.75711,                0.88453,             0.00018976,             0.00018976,             0.00018976
                     41,                 1.3746,                0.79395,                0.88831,                0.60713,                   0.43,                 0.4559,                0.23121,                 1.4275,                 0.7864,                0.89061,             0.00017326,             0.00017326,             0.00017326
                     42,                  1.328,                0.75632,                0.87882,                0.63794,                0.44547,                0.47581,                0.24178,                 1.4097,                0.76259,                0.88662,             0.00015677,             0.00015677,             0.00015677
                     43,                 1.3158,                0.74339,                0.87749,                0.58821,                0.44594,                0.46693,                0.23571,                 1.4133,                0.76506,                0.88968,             0.00014028,             0.00014028,             0.00014028
                     44,                 1.3023,                0.73242,                0.87407,                0.67936,                0.42149,                0.47493,                 0.2384,                 1.4143,                0.76667,                0.88834,             0.00012378,             0.00012378,             0.00012378
                     45,                 1.3155,                0.74158,                0.87545,                0.64798,                0.45088,                0.48635,                0.24488,                 1.3834,                0.75452,                0.88568,             0.00010729,             0.00010729,             0.00010729
                     46,                 1.3024,                0.73643,                0.87149,                0.61057,                0.45222,                0.47642,                0.24264,                  1.397,                0.75792,                0.88731,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                 1.2911,                0.73634,                0.87203,                0.63539,                0.44543,                0.48072,                0.24337,                 1.3836,                0.75058,                0.88425,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                 1.2965,                0.73248,                0.87349,                0.61448,                0.44313,                0.47372,                0.24274,                 1.3847,                0.74863,                0.88398,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                 1.2855,                0.72655,                0.87143,                0.61286,                 0.4503,                0.47441,                0.24038,                  1.391,                0.74923,                0.88481,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                 1.2733,                0.72284,                0.87145,                0.61084,                0.45804,                0.48125,                0.24567,                 1.3756,                0.74398,                0.88267,             2.4823e-05,             2.4823e-05,             2.4823e-05
