                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.439,                0.79946,                0.89627,                 0.6508,                0.43334,                0.47164,                0.24748,                 1.3909,                0.76173,                0.89791,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.4172,                0.79927,                0.89486,                0.56853,                0.43056,                0.44506,                0.22969,                  1.407,                0.78757,                0.90784,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.4302,                0.78968,                0.89345,                0.59643,                0.43366,                0.45602,                0.23199,                  1.405,                0.78379,                0.90284,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.4222,                0.78672,                0.89376,                0.60946,                0.43016,                0.46097,                0.23673,                 1.3875,                0.76041,                0.90085,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.4181,                0.78389,                0.89562,                0.59599,                0.44441,                 0.4699,                0.24124,                 1.3794,                0.74891,                0.89572,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.3943,                0.76928,                0.89049,                0.63029,                0.42379,                0.45293,                 0.2374,                 1.3881,                0.76977,                0.89985,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.3899,                 0.7722,                0.89237,                0.64505,                0.43686,                0.47202,                0.24094,                  1.412,                 0.7664,                0.90122,               0.009604,               0.009604,               0.009604
                     42,                 1.3726,                0.75908,                0.88888,                0.57294,                  0.456,                0.47816,                0.25395,                 1.3415,                0.75093,                0.89169,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.3897,                0.76589,                0.88877,                0.61874,                0.43807,                0.47585,                0.24313,                 1.3345,                0.73507,                0.89249,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.3825,                0.75437,                0.88775,                0.55879,                0.46509,                0.47422,                 0.2349,                 1.3582,                0.74878,                0.89447,              0.0095743,              0.0095743,              0.0095743
                     45,                  1.383,                0.75821,                0.88708,                0.65186,                 0.4855,                0.49963,                0.25952,                 1.3232,                0.72575,                0.88849,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.3464,                0.73566,                 0.8874,                0.58862,                0.44718,                 0.4699,                0.24126,                 1.3488,                0.74146,                0.89497,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.3686,                0.75304,                0.88911,                0.69043,                 0.4685,                0.51153,                0.26381,                 1.3495,                0.73274,                0.89269,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.3628,                0.73834,                0.88398,                0.66809,                0.46757,                0.50404,                0.26448,                  1.328,                0.73021,                0.88981,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.3594,                0.74147,                0.88234,                0.64402,                 0.4712,                0.49987,                0.26334,                 1.3707,                 0.7271,                0.89384,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.3687,                0.74904,                0.88859,                0.54684,                0.46903,                0.48134,                0.25166,                 1.3671,                0.74062,                0.89472,              0.0095149,              0.0095149,              0.0095149
                     51,                  1.354,                0.73126,                0.88372,                0.62597,                0.49156,                0.51352,                0.27141,                 1.2988,                0.70622,                0.88529,               0.009505,               0.009505,               0.009505
                     52,                 1.3436,                0.72477,                0.88324,                0.69109,                0.47652,                0.51158,                0.27007,                 1.3116,                0.70777,                0.88864,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.3461,                0.72776,                0.88134,                0.66977,                0.48883,                  0.515,                0.27024,                 1.3041,                0.69615,                0.88755,              0.0094852,              0.0094852,              0.0094852
                     54,                  1.321,                0.72153,                0.87861,                0.61764,                0.50679,                0.52328,                0.27371,                 1.2967,                 0.6919,                0.88215,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.3341,                0.71884,                0.88101,                0.65787,                 0.4583,                0.50975,                0.26334,                  1.332,                0.71237,                 0.8878,              0.0094654,              0.0094654,              0.0094654
                     56,                   1.32,                0.71426,                0.87844,                0.64805,                0.50112,                0.52402,                0.27405,                 1.3022,                0.68728,                0.88735,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.3356,                0.71983,                0.87896,                0.68809,                0.48618,                0.52722,                0.27411,                 1.2941,                0.69954,                0.88364,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.3193,                0.71486,                0.87536,                0.66998,                 0.4865,                0.52011,                0.27303,                 1.3079,                0.70292,                0.88627,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.3099,                0.70557,                0.87534,                0.62942,                0.49363,                  0.518,                0.27082,                 1.3254,                 0.7096,                0.89197,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.3043,                0.70537,                 0.8765,                0.64668,                0.51315,                0.53486,                0.27159,                 1.2981,                 0.6926,                0.88439,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.3148,                0.70958,                0.87482,                0.68613,                0.50751,                0.54115,                0.28478,                 1.2923,                0.68254,                0.88178,               0.009406,               0.009406,               0.009406
                     62,                  1.301,                0.70124,                0.87374,                0.68507,                0.49391,                0.53173,                0.27859,                 1.2981,                0.69702,                0.88447,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.2923,                0.69286,                0.87127,                 0.7096,                0.47712,                0.52857,                0.27757,                  1.277,                0.68053,                 0.8826,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.3018,                0.70059,                0.87147,                0.68932,                0.50464,                0.53718,                0.28188,                 1.2824,                0.68016,                0.88118,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.2955,                0.69545,                0.87175,                0.67864,                0.50921,                0.54206,                0.28558,                 1.2787,                0.67676,                0.88171,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.2859,                0.69263,                0.87381,                0.66405,                0.50938,                0.52633,                0.27427,                 1.2625,                0.68558,                0.88161,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.2905,                0.69711,                0.87419,                0.66919,                0.50119,                0.53554,                0.27953,                 1.2712,                0.67715,                0.88103,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.2667,                0.67294,                0.86807,                0.70018,                0.49954,                0.54475,                0.28823,                 1.2648,                0.67039,                0.87873,              0.0093367,              0.0093367,              0.0093367
                     69,                  1.276,                0.68447,                0.87027,                0.68185,                0.50224,                0.53655,                0.27783,                 1.2894,                0.68922,                0.88135,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.2816,                   0.69,                 0.8753,                0.64949,                 0.5067,                0.54778,                0.28496,                 1.2714,                 0.6736,                 0.8813,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.2776,                 0.6827,                0.86894,                0.65624,                0.51954,                0.54888,                0.28667,                 1.2559,                0.66164,                0.87883,               0.009307,               0.009307,               0.009307
                     72,                 1.2499,                 0.6748,                0.87077,                0.71287,                 0.4993,                0.54719,                0.29346,                 1.2475,                0.66386,                0.87921,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.2717,                0.68236,                0.87099,                0.69333,                0.53294,                0.56347,                0.29414,                 1.2425,                0.66597,                0.87643,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.2665,                  0.672,                0.86978,                0.69443,                0.52394,                0.55481,                0.29218,                  1.267,                0.67359,                0.87898,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.2784,                0.68148,                0.86819,                0.69094,                0.53666,                0.56724,                0.29933,                 1.2491,                0.65994,                0.87484,              0.0092674,              0.0092674,              0.0092674
                     76,                  1.271,                 0.6787,                0.86664,                0.71757,                0.52367,                 0.5672,                0.30495,                 1.2354,                 0.6554,                0.87401,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.2533,                0.66696,                0.86979,                0.68933,                0.53606,                0.57163,                0.30048,                 1.2348,                0.65188,                0.87425,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.2759,                0.67714,                 0.8672,                0.68342,                0.53056,                0.56683,                0.29723,                 1.2421,                 0.6552,                0.87485,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.2299,                0.65847,                0.86228,                0.70536,                0.53885,                0.57303,                0.29948,                 1.2436,                0.65332,                0.87625,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.2541,                0.67089,                 0.8638,                0.70562,                0.53949,                0.57754,                0.30024,                 1.2358,                0.64753,                0.87445,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.2573,                0.66773,                0.87088,                 0.7422,                0.52062,                0.56848,                0.29526,                 1.2265,                0.65127,                0.87341,               0.009208,               0.009208,               0.009208
                     82,                 1.2315,                0.66058,                0.86229,                0.69973,                0.56005,                0.58145,                0.31023,                 1.2126,                0.64014,                0.87235,              0.0091981,              0.0091981,              0.0091981
                     83,                   1.24,                0.66118,                0.86408,                0.68981,                0.52492,                0.57783,                0.30148,                 1.2413,                0.64466,                0.87535,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.2366,                0.66191,                 0.8626,                0.67474,                0.54612,                0.57703,                0.30442,                 1.2375,                0.64686,                0.87458,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.2309,                0.65802,                0.85971,                0.73994,                0.53881,                0.57825,                0.30406,                 1.2167,                 0.6488,                0.86978,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.2101,                0.64464,                0.85718,                 0.6968,                0.54793,                0.57534,                0.30237,                  1.231,                0.64325,                0.87524,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.2251,                0.65589,                0.86274,                0.72683,                0.53645,                0.58511,                0.30634,                 1.2398,                0.63969,                0.87292,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.2405,                0.65766,                0.85997,                0.74786,                 0.5464,                0.59934,                0.31404,                 1.2107,                0.63343,                0.86921,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.2247,                0.65526,                0.86179,                0.69156,                0.53397,                0.57851,                0.30705,                   1.24,                0.64926,                0.87495,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.2421,                0.65857,                0.86421,                0.69814,                 0.5562,                0.58344,                  0.305,                 1.2276,                0.63901,                0.87314,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.2095,                0.64653,                0.86068,                0.70507,                0.55565,                0.59469,                0.31594,                 1.2328,                0.63804,                 0.8741,               0.009109,               0.009109,               0.009109
                     92,                 1.2154,                0.64608,                0.86127,                0.72299,                0.54489,                0.60194,                0.31734,                 1.2031,                0.62818,                0.87116,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.2051,                0.63949,                0.85988,                0.72742,                0.53493,                0.57107,                0.30788,                   1.24,                0.64257,                0.87294,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.2131,                0.64283,                0.85787,                0.72149,                0.50943,                0.59027,                 0.3128,                 1.2077,                0.63227,                0.86963,              0.0090793,              0.0090793,              0.0090793
